city,date,energy_usage
New York,2025-08-04,474614
New York,2025-08-04,472084
New York,2025-08-04,470645
New York,2025-08-04,473414
New York,2025-08-04,474614
New York,2025-08-04,472659
New York,2025-08-03,405928
New York,2025-08-03,404401
New York,2025-08-03,403537
New York,2025-08-03,405172
New York,2025-08-03,405928
New York,2025-08-03,405719
New York,2025-08-03,403764
New York,2025-08-03,402783
New York,2025-08-03,404735
New York,2025-08-03,405719
New York,2025-08-03,350294
New York,2025-08-03,350294
New York,2025-08-03,349013
New York,2025-08-03,350294
New York,2025-08-03,350294
New York,2025-08-03,-54524
New York,2025-08-02,388033
New York,2025-08-02,387952
New York,2025-08-02,387889
New York,2025-08-02,387987
New York,2025-08-02,388033
New York,2025-08-02,389882
New York,2025-08-02,390024
New York,2025-08-02,390111
New York,2025-08-02,389952
New York,2025-08-02,389882
New York,2025-08-02,334878
New York,2025-08-02,334801
New York,2025-08-02,334919
New York,2025-08-02,334822
New York,2025-08-02,334878
New York,2025-08-02,-53155
New York,2025-08-02,-53151
New York,2025-08-02,-52970
New York,2025-08-02,-53165
New York,2025-08-02,-53155
New York,2025-08-01,413280
New York,2025-08-01,415526
New York,2025-08-01,416720
New York,2025-08-01,414396
New York,2025-08-01,413280
New York,2025-08-01,420104
New York,2025-08-01,423501
New York,2025-08-01,425374
New York,2025-08-01,421759
New York,2025-08-01,420104
New York,2025-08-01,355163
New York,2025-08-01,355981
New York,2025-08-01,356258
New York,2025-08-01,355564
New York,2025-08-01,355163
New York,2025-08-01,-58117
New York,2025-08-01,-59545
New York,2025-08-01,-60462
New York,2025-08-01,-58832
New York,2025-08-01,-58117
New York,2025-07-31,515935
New York,2025-07-31,526119
New York,2025-07-31,531768
New York,2025-07-31,520869
New York,2025-07-31,515935
New York,2025-07-31,518807
New York,2025-07-31,527560
New York,2025-07-31,532383
New York,2025-07-31,523057
New York,2025-07-31,518807
New York,2025-07-31,461224
New York,2025-07-31,471227
New York,2025-07-31,477090
New York,2025-07-31,466047
New York,2025-07-31,461224
New York,2025-07-31,-54711
New York,2025-07-31,-54892
New York,2025-07-31,-54678
New York,2025-07-31,-54822
New York,2025-07-31,-54711
New York,2025-07-30,601768
New York,2025-07-30,603134
New York,2025-07-30,603912
New York,2025-07-30,602425
New York,2025-07-30,601768
New York,2025-07-30,597949
New York,2025-07-30,598090
New York,2025-07-30,598259
New York,2025-07-30,597993
New York,2025-07-30,597949
New York,2025-07-30,543420
New York,2025-07-30,546796
New York,2025-07-30,549165
New York,2025-07-30,544757
New York,2025-07-30,543420
New York,2025-07-30,-58348
New York,2025-07-30,-56338
New York,2025-07-30,-54747
New York,2025-07-30,-57668
New York,2025-07-30,-58348
New York,2025-07-29,613515
New York,2025-07-29,611568
New York,2025-07-29,610519
New York,2025-07-29,612565
New York,2025-07-29,613515
New York,2025-07-29,598574
New York,2025-07-29,597454
New York,2025-07-29,596869
New York,2025-07-29,598036
New York,2025-07-29,598574
New York,2025-07-29,560277
New York,2025-07-29,557861
New York,2025-07-29,557581
New York,2025-07-29,558785
New York,2025-07-29,560277
New York,2025-07-29,-53238
New York,2025-07-29,-53707
New York,2025-07-29,-52938
New York,2025-07-29,-53780
New York,2025-07-29,-53238
New York,2025-07-28,582872
New York,2025-07-28,580083
New York,2025-07-28,578466
New York,2025-07-28,581513
New York,2025-07-28,582872
New York,2025-07-28,565858
New York,2025-07-28,563276
New York,2025-07-28,561644
New York,2025-07-28,564649
New York,2025-07-28,565858
New York,2025-07-28,528891
New York,2025-07-28,525354
New York,2025-07-28,522425
New York,2025-07-28,527643
New York,2025-07-28,528891
New York,2025-07-28,-53981
New York,2025-07-28,-54729
New York,2025-07-28,-56041
New York,2025-07-28,-53870
New York,2025-07-28,-53981
New York,2025-07-27,501539
New York,2025-07-27,499178
New York,2025-07-27,497735
New York,2025-07-27,500457
New York,2025-07-27,501539
New York,2025-07-27,490426
New York,2025-07-27,488081
New York,2025-07-27,486777
New York,2025-07-27,489278
New York,2025-07-27,490426
New York,2025-07-27,447934
New York,2025-07-27,445166
New York,2025-07-27,442809
New York,2025-07-27,446988
New York,2025-07-27,447934
New York,2025-07-27,-53605
New York,2025-07-27,-54012
New York,2025-07-27,-54926
New York,2025-07-27,-53469
New York,2025-07-27,-53605
New York,2025-07-26,496179
New York,2025-07-26,499407
New York,2025-07-26,501454
New York,2025-07-26,497659
New York,2025-07-26,496179
New York,2025-07-26,512024
New York,2025-07-26,515975
New York,2025-07-26,518412
New York,2025-07-26,513870
New York,2025-07-26,512024
New York,2025-07-26,432682
