city,date,TMAX_F,TMIN_F
Chicago,2025-07-06,32.53,32.34
Chicago,2025-07-07,32.51,32.33
Chicago,2025-07-08,32.52,32.37
Chicago,2025-07-09,32.53,32.37
Chicago,2025-07-10,32.53,32.35
Chicago,2025-07-11,32.58,32.38
Chicago,2025-07-12,32.52,32.37
Chicago,2025-07-13,32.49,32.35
Chicago,2025-07-14,32.55,32.34
Chicago,2025-07-15,32.59,32.38
Chicago,2025-07-16,32.58,32.38
Chicago,2025-07-17,32.4,32.26
Chicago,2025-07-18,32.48,32.26
Chicago,2025-07-19,32.51,32.41
Chicago,2025-07-20,32.43,32.34
Chicago,2025-07-21,32.5,32.31
Chicago,2025-07-22,32.54,32.37
Chicago,2025-07-23,32.62,32.4
Chicago,2025-07-24,32.6,32.42
Chicago,2025-07-25,32.51,32.41
Chicago,2025-07-26,32.51,32.41
Chicago,2025-07-27,32.56,32.41
Chicago,2025-07-28,32.6,32.43
Chicago,2025-07-29,32.61,32.38
Chicago,2025-07-30,32.48,32.36
Chicago,2025-07-31,32.44,32.32
Chicago,2025-08-01,32.43,32.29
Chicago,2025-08-02,32.46,32.27
Houston,2025-07-06,32.62,32.45
Houston,2025-07-07,32.6,32.48
Houston,2025-07-08,32.6,32.42
Houston,2025-07-09,32.58,32.43
Houston,2025-07-10,32.62,32.44
Houston,2025-07-11,32.59,32.45
Houston,2025-07-12,32.61,32.47
Houston,2025-07-13,32.61,32.46
Houston,2025-07-14,32.6,32.47
Houston,2025-07-15,32.62,32.46
Houston,2025-07-16,32.63,32.46
Houston,2025-07-17,32.59,32.45
Houston,2025-07-18,32.59,32.47
Houston,2025-07-19,32.61,32.47
Houston,2025-07-20,32.62,32.48
Houston,2025-07-21,32.64,32.46
Houston,2025-07-22,32.65,32.47
Houston,2025-07-23,32.65,32.45
Houston,2025-07-24,32.65,32.46
Houston,2025-07-25,32.6,32.42
Houston,2025-07-26,32.58,32.44
Houston,2025-07-27,32.61,32.45
Houston,2025-07-28,32.64,32.47
Houston,2025-07-29,32.65,32.46
Houston,2025-07-30,32.65,32.45
Houston,2025-07-31,32.59,32.48
Houston,2025-08-01,32.63,32.49
Houston,2025-08-02,32.6,32.45
New York,2025-07-06,32.55,32.4
New York,2025-07-07,32.55,32.44
New York,2025-07-08,32.61,32.41
New York,2025-07-09,32.58,32.41
New York,2025-07-10,32.52,32.38
New York,2025-07-11,32.52,32.41
New York,2025-07-12,32.51,32.42
New York,2025-07-13,32.51,32.39
New York,2025-07-14,32.53,32.41
New York,2025-07-15,32.54,32.4
New York,2025-07-16,32.55,32.45
New York,2025-07-17,32.58,32.43
New York,2025-07-18,32.5,32.41
New York,2025-07-19,32.49,32.37
New York,2025-07-20,32.56,32.43
New York,2025-07-21,32.53,32.39
New York,2025-07-22,32.49,32.35
New York,2025-07-23,32.48,32.37
New York,2025-07-24,32.55,32.38
New York,2025-07-25,32.63,32.44
New York,2025-07-26,32.53,32.42
New York,2025-07-27,32.52,32.41
New York,2025-07-28,32.62,32.44
New York,2025-07-29,32.65,32.46
New York,2025-07-30,32.63,32.43
New York,2025-07-31,32.57,32.33
New York,2025-08-01,32.41,32.31
New York,2025-08-02,32.48,32.31
Phoenix,2025-07-06,32.78,32.54
Phoenix,2025-07-07,32.79,32.59
Phoenix,2025-07-08,32.8,32.6
Phoenix,2025-07-09,32.86,32.61
Phoenix,2025-07-10,32.81,32.63
Phoenix,2025-07-11,32.79,32.58
Phoenix,2025-07-12,32.76,32.56
Phoenix,2025-07-13,32.76,32.58
Phoenix,2025-07-14,32.75,32.58
Phoenix,2025-07-15,32.75,32.54
Phoenix,2025-07-16,32.65,32.51
Phoenix,2025-07-17,32.69,32.48
Phoenix,2025-07-18,32.76,32.56
Phoenix,2025-07-19,32.75,32.55
Phoenix,2025-07-20,32.65,32.58
Phoenix,2025-07-21,32.72,32.53
Phoenix,2025-07-22,32.7,32.52
Phoenix,2025-07-23,32.72,32.53
Phoenix,2025-07-24,32.74,32.48
Phoenix,2025-07-25,32.77,32.48
Phoenix,2025-07-26,32.75,32.49
Phoenix,2025-07-27,32.78,32.5
Phoenix,2025-07-28,32.81,32.54
Phoenix,2025-07-29,32.78,32.56
Phoenix,2025-07-30,32.79,32.55
Phoenix,2025-07-31,32.79,32.56
Phoenix,2025-08-01,32.81,32.6
Phoenix,2025-08-02,32.82,32.58
Seattle,2025-07-06,32.47,32.25
Seattle,2025-07-07,32.53,32.26
Seattle,2025-07-08,32.53,32.26
Seattle,2025-07-09,32.4,32.27
Seattle,2025-07-10,32.41,32.25
Seattle,2025-07-11,32.52,32.27
Seattle,2025-07-12,32.51,32.32
Seattle,2025-07-13,32.58,32.32
Seattle,2025-07-14,32.46,32.3
Seattle,2025-07-15,32.56,32.24
Seattle,2025-07-16,32.62,32.34
Seattle,2025-07-17,32.54,32.24
Seattle,2025-07-18,32.38,32.24
Seattle,2025-07-19,32.38,32.23
Seattle,2025-07-20,32.33,32.19
Seattle,2025-07-21,32.45,32.22
Seattle,2025-07-22,32.46,32.25
Seattle,2025-07-23,32.51,32.25
Seattle,2025-07-24,32.44,32.23
Seattle,2025-07-25,32.39,32.23
Seattle,2025-07-26,32.39,32.21
Seattle,2025-07-27,32.44,32.23
Seattle,2025-07-28,32.5,32.22
Seattle,2025-07-29,32.53,32.25
Seattle,2025-07-30,32.53,32.26
Seattle,2025-07-31,32.48,32.28
Seattle,2025-08-01,32.43,32.25
Seattle,2025-08-02,32.41,32.26
